Tiepoint_ID ,height,time_1,pos_inert_zeroh_1_x,pos_inert_zeroh_1_y,pos_inert_zeroh_1_z,lat_zeroh_1,wlon_zeroh_1,time_2,pos_inert_zeroh_2_x,pos_inert_zeroh_2_y,pos_inert_zeroh_2_z,lat_zeroh_2,wlon_zeroh_2,residual_dist_zeroh
    hayes_798_1_t44s01t95s01, -0.189, 265235753.818,    1594.31,   -1822.62,     875.69, 19.9513,-164.6982, 434998550.421,    2185.22,    1224.68,     596.33, 19.8658,-164.5773,      6.392
   hayes_1236_1_t29s01t25s01, -1.018, 230895577.147,     119.75,     -83.19,    2570.87, 83.5276, -77.5427, 225386865.477,     114.27,     -94.71,    2570.72, 83.2444, -76.8793,     13.181
   hayes_1236_1_t25s01t64s01, -1.252, 225386865.477,     114.27,     -94.71,    2570.72, 83.2444, -76.8793, 315231450.369,     470.11,      20.58,    2531.64, 83.4348, -77.7735,      9.741
   hayes_1238_1_t29s01t92s01, -0.605, 230895595.148,     172.45,    -109.45,    2566.89, 83.2926, -88.8161, 426733931.765,     432.48,     -27.97,    2538.27, 83.4021, -89.2705,      5.459
   hayes_1238_1_t25s01t92s01, -0.602, 225386888.542,     175.31,    -109.25,    2566.70, 83.3083, -88.8326, 426733931.765,     432.48,     -27.97,    2538.27, 83.4021, -89.2705,      4.793
   hayes_1238_1_t64s01t92s01, -0.599, 315231460.419,     504.20,      67.27,    2524.26, 83.2551, -88.8702, 426733931.765,     432.48,     -27.97,    2538.27, 83.4021, -89.2705,      6.929
   hayes_1238_3_t29s01t92s01, -0.708, 230895598.148,     175.17,    -120.78,    2566.19, 83.0550, -89.6970, 426733934.615,     443.87,     -33.60,    2536.23, 83.1330, -90.1032,      4.134
   hayes_1238_3_t25s01t92s01, -0.709, 225386891.283,     177.95,    -120.96,    2565.99, 83.0611, -89.6926, 426733934.615,     443.87,     -33.60,    2536.23, 83.1330, -90.1032,      3.918
   hayes_1238_3_t64s01t92s01, -0.708, 315231461.759,     515.66,      66.92,    2521.95, 83.0125, -89.6586, 426733934.615,     443.87,     -33.60,    2536.23, 83.1330, -90.1032,      5.927
   hayes_1238_4_t29s01t92s01, -0.500, 230895595.548,     190.56,     -72.15,    2566.93, 84.1775, -91.2114, 426733940.600,     413.37,       8.52,    2541.59, 84.2820, -91.7631,      5.319
   hayes_1238_5_t29s01t92s01, -0.662, 230895588.347,     187.85,    -100.63,    2566.17, 83.5416, -91.4962, 426733950.648,     435.90,     -11.85,    2537.81, 83.6015, -91.9883,      3.659
   hayes_1238_5_t25s01t92s01, -0.656, 225386891.283,     190.26,    -100.68,    2565.99, 83.5474, -91.4543, 426733950.648,     435.90,     -11.85,    2537.81, 83.6015, -91.9883,      3.621
    hayes_472_1_t36s01t36s02, -0.498, 244571096.207,   -1296.96,    1949.79,   -1070.91,-23.7484,  23.6000, 244571454.943,   -1299.27,    1948.30,   -1070.82,-23.7535,  23.6273,      1.145
