Tiepoint_ID ,height,time_1,pos_inert_zeroh_1_x,pos_inert_zeroh_1_y,pos_inert_zeroh_1_z,lat_zeroh_1,wlon_zeroh_1,time_2,pos_inert_zeroh_2_x,pos_inert_zeroh_2_y,pos_inert_zeroh_2_z,lat_zeroh_2,wlon_zeroh_2,residual_dist_zeroh
   hayes_1236_1_t25s01t64s01, -1.252, 225386865.477,     114.27,     -94.71,    2570.72, 83.2268, -76.7945, 315231450.369,     470.11,      20.58,    2531.64, 83.4183, -77.5144,      9.394
   hayes_1238_1_t29s01t92s01, -0.605, 230895595.148,     172.45,    -109.45,    2566.89, 83.2758, -88.7204, 426733931.765,     432.48,     -27.97,    2538.27, 83.3656, -89.1088,      4.516
   hayes_1238_1_t25s01t92s01, -0.602, 225386888.542,     175.31,    -109.25,    2566.70, 83.2916, -88.7170, 426733931.765,     432.48,     -27.97,    2538.27, 83.3656, -89.1088,      3.904
   hayes_1238_1_t64s01t92s01, -0.599, 315231460.419,     504.20,      67.27,    2524.26, 83.2415, -88.5893, 426733931.765,     432.48,     -27.97,    2538.27, 83.3656, -89.1088,      6.206
   hayes_1238_3_t29s01t92s01, -0.708, 230895598.148,     175.17,    -120.78,    2566.19, 83.0383, -89.6007, 426733934.615,     443.87,     -33.60,    2536.23, 83.0964, -89.9370,      3.188
   hayes_1238_3_t25s01t92s01, -0.709, 225386891.283,     177.95,    -120.96,    2565.99, 83.0445, -89.5769, 426733934.615,     443.87,     -33.60,    2536.23, 83.0964, -89.9370,      3.042
   hayes_1238_3_t64s01t92s01, -0.708, 315231461.759,     515.66,      66.92,    2521.95, 82.9991, -89.3809, 426733934.615,     443.87,     -33.60,    2536.23, 83.0964, -89.9370,      5.320
   hayes_1238_4_t29s01t92s01, -0.500, 230895595.548,     190.56,     -72.15,    2566.93, 84.1609, -91.1020, 426733940.600,     413.37,       8.52,    2541.59, 84.2455, -91.5862,      4.392
   hayes_1238_5_t29s01t92s01, -0.662, 230895588.347,     187.85,    -100.63,    2566.17, 83.5250, -91.3919, 426733950.648,     435.90,     -11.85,    2537.81, 83.5650, -91.8113,      2.779
   hayes_1238_5_t25s01t92s01, -0.656, 225386891.283,     190.26,    -100.68,    2565.99, 83.5310, -91.3300, 426733950.648,     435.90,     -11.85,    2537.81, 83.5650, -91.8113,      2.869
    hayes_472_1_t36s01t36s02, -0.498, 244571096.207,   -1296.96,    1949.79,   -1070.91,-23.7373,  23.6509, 244571454.943,   -1299.27,    1948.30,   -1070.82,-23.7426,  23.6781,      1.145
